# curie_map:
#   b2ai: https://github.com/sujaypatil96/b2ai-dataset-ingest#
#   HP: http://purl.obolibrary.org/obo/HP_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   github: https://github.com/
#   obo: http://purl.obolibrary.org/obo/
# mapping_set_id: https://github.com/sujaypatil96/b2ai-dataset-ingest/mappings/b2ai-voice-signs-symptoms.sssom.tsv
# mapping_set_version: '2026-08-27'
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://github.com/sujaypatil96/b2ai-dataset-ingest
# creator_id:
#   - github:sujaypatil96
# subject_source: b2ai-voice/3.1.0
# object_source: obo:hp
# object_source_version: hp/releases/2026-02-16
# mapping_tool: 'oaklib (sqlite:obo:hp)'
# mapping_date: '2026-08-27'
# comment: Bridge2AI-Voice confounders/, diagnosis/, and pediatric/ (pediatric_medical_conditions) clinical signs, symptoms, and medical-history conditions mapped to HPO. Conditions/diseases are mapped to their best-fit HPO phenotype (exact where HPO has the term, broad/related to the nearest phenotype otherwise); diseases with no defensible HPO phenotype (e.g. cystic fibrosis, multiple sclerosis, COVID-19, trisomy 21) are left for a future MONDO layer. Medications, procedures, substances, and injuries are out of scope. Every object_id verified against the pinned HPO release with oaklib. Revised after clinical review (2026-08-24) - a 'X cancer' column broadMatches the HPO neoplasm term rather than matching it exactly, because the HPO term covers benign neoplasms too. See docs/mapping-conventions.md.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
b2ai:confounders.dizziness	Dizziness	skos:relatedMatch	HP:0002321	Vertigo	semapv:ManualMappingCuration	0.6	source scopes to lightheadedness/balance disturbance (non-spinning); Vertigo is HPO's nearest term but the senses differ (cf. HP:0031972 Presyncope, HP:4000033 Non-spinning vertigo)
b2ai:confounders.shortness_breath	Shortness of breath	skos:exactMatch	HP:0002094	Dyspnea	semapv:ManualMappingCuration	0.95	
b2ai:confounders.ataxia	Ataxia	skos:exactMatch	HP:0001251	Ataxia	semapv:ManualMappingCuration	0.95	
b2ai:confounders.apraxia_of_speech	Apraxia of speech	skos:exactMatch	HP:0011098	Speech apraxia	semapv:ManualMappingCuration	0.95	HPO synonym 'Apraxia of speech'
b2ai:confounders.dysarthria	Dysarthria	skos:exactMatch	HP:0001260	Dysarthria	semapv:ManualMappingCuration	0.95	
b2ai:confounders.confusion	Confusion	skos:exactMatch	HP:0001289	Confusion	semapv:ManualMappingCuration	0.95	
b2ai:confounders.hearing_loss	Hearing loss	skos:exactMatch	HP:0000365	Hearing impairment	semapv:ManualMappingCuration	0.95	HPO synonym 'Hearing loss'
b2ai:confounders.nasal_congestion_obstruction	Nasal congestion or obstruction	skos:exactMatch	HP:0001742	Nasal congestion	semapv:ManualMappingCuration	0.95	
b2ai:confounders.scratchy_sore_throat	Scratchy or sore throat	skos:narrowMatch	HP:0033050	Pharyngalgia	semapv:ManualMappingCuration	0.75	column conflates a scratchy (irritated) and a sore (painful) throat; Pharyngalgia is the pain sense only, so it is narrower than the column (clinical review, 2026-08-24). The irritation sense is left unmapped: HPO has no term for it (searched 'throat irritation', 'scratchy throat')
b2ai:confounders.coughing_clearing_throat	Coughing or clearing your throat	skos:narrowMatch	HP:0012735	Cough	semapv:ManualMappingCuration	0.75	column conflates coughing + throat clearing (HPO has no throat-clearing term); Cough is the narrower captured sense
b2ai:confounders.headache_migraine	Headache or migraine	skos:broadMatch	HP:0002315	Headache	semapv:ManualMappingCuration	0.8	column conflates headache and migraine, and HP:0002076 Migraine is_a HP:0002315 Headache, so this term genuinely subsumes both senses; kept broad rather than split away, with the migraine sense recorded on its own row (clinical review, 2026-08-24)
b2ai:confounders.headache_migraine	Headache or migraine	skos:narrowMatch	HP:0002076	Migraine	semapv:ManualMappingCuration	0.75	the migraine sense of the column, named explicitly in the item text; narrower than the column, which also covers non-migrainous headache (added on clinical review, 2026-08-24)
b2ai:confounders.anxiety_nervousness	Anxiety or nervousness	skos:exactMatch	HP:0000739	Anxiety	semapv:ManualMappingCuration	0.95	
b2ai:confounders.atrial_fibrillation	Atrial fibrillation	skos:exactMatch	HP:0005110	Atrial fibrillation	semapv:ManualMappingCuration	0.95	
b2ai:confounders.bronchiectasis	Bronchiectasis	skos:exactMatch	HP:0002110	Bronchiectasis	semapv:ManualMappingCuration	0.95	
b2ai:confounders.emphysema	Emphysema	skos:exactMatch	HP:0002097	Emphysema	semapv:ManualMappingCuration	0.95	
